state,county,fips,population
AL,Autauga County,1001,55869
AL,Baldwin County,1003,223234
AL,Barbour County,1005,24686
AL,Bibb County,1007,22394
AL,Blount County,1009,57826
AL,Bullock County,1011,10101
AL,Butler County,1013,19448
AL,Calhoun County,1015,113605
AL,Chambers County,1017,33254
AL,Cherokee County,1019,26196
AL,Chilton County,1021,44428
AL,Choctaw County,1023,12589
AL,Clarke County,1025,23622
AL,Clay County,1027,13235
AL,Cleburne County,1029,14910
AL,Coffee County,1031,52342
AL,Colbert County,1033,55241
AL,Conecuh County,1035,12067
AL,Coosa County,1037,10663
AL,Covington County,1039,37049
AL,Crenshaw County,1041,13772
AL,Cullman County,1043,83768
AL,Dale County,1045,49172
AL,Dallas County,1047,37196
AL,DeKalb County,1049,71513
AL,Elmore County,1051,81209
AL,Escambia County,1053,36633
AL,Etowah County,1055,102268
AL,Fayette County,1057,16302
AL,Franklin County,1059,31362
AL,Geneva County,1061,26271
AL,Greene County,1063,8111
AL,Hale County,1065,14651
AL,Henry County,1067,17205
AL,Houston County,1069,105882
AL,Jackson County,1071,51626
AL,Jefferson County,1073,658573
AL,Lamar County,1075,13805
AL,Lauderdale County,1077,92729
AL,Lawrence County,1079,32924
AL,Lee County,1081,164542
AL,Limestone County,1083,98915
AL,Lowndes County,1085,9726
AL,Macon County,1087,18068
AL,Madison County,1089,372909
AL,Marengo County,1091,18863
AL,Marion County,1093,29709
AL,Marshall County,1095,96774
AL,Mobile County,1097,413210
AL,Monroe County,1099,20733
AL,Montgomery County,1101,226486
AL,Morgan County,1103,119679
AL,Perry County,1105,8923
AL,Pickens County,1107,19930
AL,Pike County,1109,33114
AL,Randolph County,1111,22722
AL,Russell County,1113,57961
AL,St. Clair County,1115,89512
AL,Shelby County,1117,217702
AL,Sumter County,1119,12427
AL,Talladega County,1121,79978
AL,Tallapoosa County,1123,40367
AL,Tuscaloosa County,1125,209355
AL,Walker County,1127,63521
AL,Washington County,1129,16326
AL,Wilcox County,1131,10373
AL,Winston County,1133,23629
AK,Aleutians East Borough,2013,3337
AK,Aleutians West Census Area,2016,5634
AK,Anchorage Municipality,2020,288000
AK,Bethel Census Area,2050,18386
AK,Bristol Bay Borough,2060,836
AK,Denali Borough,2068,2097
AK,Dillingham Census Area,2070,4916
AK,Fairbanks North Star Borough,2090,96849
AK,Haines Borough,2100,2530
AK,Hoonah-Angoon Census Area,2105,2148
AK,Juneau City and Borough,2110,31974
AK,Kenai Peninsula Borough,2122,58708
AK,Ketchikan Gateway Borough,2130,13901
AK,Kodiak Island Borough,2150,12998
AK,Kusilvak Census Area,2158,8314
AK,Lake and Peninsula Borough,2164,1592
AK,Matanuska-Susitna Borough,2170,108317
AK,Nome Census Area,2180,10004
AK,North Slope Borough,2185,9832
AK,Northwest Arctic Borough,2188,7621
AK,Petersburg Borough,2195,3266
AK,Prince of Wales-Hyder Census Area,2198,6203
AK,Sitka City and Borough,2220,8493
AK,Skagway Municipality,2230,1183
AK,Southeast Fairbanks Census Area,2240,6893
AK,Valdez-Cordova Census Area,2261,9202
AK,Wrangell City and Borough,2275,2502
AK,Yakutat City and Borough,2282,579
